flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season
F001701,KE,Korean Air,skyteam,KE8294;KE9055,PVG,Shanghai,CDG,Paris,2025-10-27T08:30:00Z,2025-10-28T00:48:00Z,978,1,IST,131,Economy,777.72,USD,6,B737-800,79,False,False,medium,shoulder,False
F001801,TK,Turkish Airlines,star,TK8994,DOH,Doha,PVG,Shanghai,2025-07-05T10:05:00Z,2025-07-05T19:14:00Z,549,0,,0,Economy,1068.48,USD,6,A350-900,84,True,True,high,summer_peak,False
F001901,TG,Thai Airways,star,TG5935;TG2468;TG2625,PVG,Shanghai,ORD,Chicago,2025-11-13T22:00:00Z,2025-11-15T10:30:00Z,2190,2,JFK;AMS,247,Economy,734.99,USD,8,E190,78,True,False,medium,shoulder,False
F002001,DL,Delta,skyteam,DL9438;DL4055,LHR,London,NRT,Tokyo,2025-05-28T05:05:00Z,2025-05-29T04:58:00Z,1433,1,SIN,136,Economy,806.69,USD,3,A320neo,85,True,False,medium,shoulder,False
F002101,QF,Qantas,oneworld,QF1711,MAA,Chennai,CDG,Paris,2025-08-23T09:20:00Z,2025-08-23T20:01:00Z,641,0,,0,Economy,1379.73,USD,4,A320neo,88,False,True,high,summer_peak,False
F002201,CX,Cathay Pacific,oneworld,CX3784,CPT,Cape Town,NRT,Tokyo,2025-04-04T10:25:00Z,2025-04-05T05:33:00Z,1148,0,,0,Premium Economy,3440.95,USD,3,B767-300,89,True,False,medium,shoulder,False
F002301,QF,Qantas,oneworld,QF188;QF677,IST,Istanbul,MAA,Chennai,2025-02-14T07:10:00Z,2025-02-15T19:11:00Z,2161,1,SFO,231,Economy,420.09,USD,8,B767-300,85,True,False,low,winter_low,False
F002401,KE,Korean Air,skyteam,KE5242;KE6968,LHR,London,LIS,Lisbon,2025-07-24T16:45:00Z,2025-07-25T11:16:00Z,1111,1,DXB,159,Economy,229.29,USD,2,A380-800,74,False,False,high,summer_peak,False
F002501,NH,ANA,star,NH8778,AMS,Amsterdam,GRU,Sao Paulo,2025-12-03T00:15:00Z,2025-12-03T13:08:00Z,773,0,,0,Economy,1158.18,USD,8,A330-300,91,True,False,medium,shoulder,False
F002601,QR,Qatar Airways,oneworld,QR8143;QR1114,GIG,Rio de Janeiro,DOH,Doha,2025-07-01T00:15:00Z,2025-07-02T08:29:00Z,1934,1,LAX,93,First,5078.69,USD,5,A350-900,87,True,True,low,winter_low,False
F002701,CX,Cathay Pacific,oneworld,CX1421,MAA,Chennai,MEX,Mexico City,2025-11-16T07:20:00Z,2025-11-17T04:30:00Z,1270,0,,0,Business,6466.87,USD,3,A320neo,94,True,True,medium,shoulder,False
F002801,JL,Japan Airlines,oneworld,JL9264,FCO,Rome,LAX,Los Angeles,2025-04-01T23:45:00Z,2025-04-02T13:10:00Z,805,0,,0,Economy,1169.34,USD,8,A320neo,88,True,False,medium,shoulder,False
F002901,KE,Korean Air,skyteam,KE2176;KE3432;KE6277,PVG,Shanghai,LAX,Los Angeles,2025-05-12T07:00:00Z,2025-05-13T16:50:00Z,2030,2,DXB;AMS,369,Economy,693.74,USD,4,A321neo,72,True,False,medium,shoulder,False
F003001,QR,Qatar Airways,oneworld,QR6506;QR8015,DOH,Doha,GIG,Rio de Janeiro,2025-01-22T18:55:00Z,2025-01-23T15:57:00Z,1262,1,LHR,95,Premium Economy,1585.18,USD,8,B767-300,84,True,True,low,winter_low,False
F003101,JL,Japan Airlines,oneworld,JL3794,MEX,Mexico City,NRT,Tokyo,2025-09-07T11:55:00Z,2025-09-08T02:38:00Z,883,0,,0,Economy,1430.55,USD,6,A321neo,93,True,False,medium,shoulder,False
F003201,AF,Air France,skyteam,AF9681;AF7593,GIG,Rio de Janeiro,IST,Istanbul,2026-02-28T10:50:00Z,2026-03-01T22:27:00Z,2137,1,ICN,105,Business,3911.52,USD,5,A350-900,76,True,True,high,summer_peak,False
F003301,TG,Thai Airways,star,TG9716;TG1931,MEX,Mexico City,KUL,Kuala Lumpur,2025-03-28T08:40:00Z,2025-03-29T12:50:00Z,1690,1,FRA,145,Economy,1255.77,USD,3,E190,84,True,False,medium,shoulder,False
F003401,EK,Emirates,none,EK1381,SFO,San Francisco,IST,Istanbul,2025-08-08T13:10:00Z,2025-08-09T03:17:00Z,847,0,,0,First,8783.4,USD,6,A350-900,92,True,True,high,summer_peak,False
F003501,CX,Cathay Pacific,oneworld,CX1095,GIG,Rio de Janeiro,MEX,Mexico City,2026-01-05T23:40:00Z,2026-01-06T09:54:00Z,614,0,,0,Economy,1315.93,USD,7,A350-900,90,True,False,high,summer_peak,False
F003601,AI,Air India,star,AI8018;AI8437;AI1652,AKL,Auckland,MEX,Mexico City,2025-04-24T18:20:00Z,2025-04-26T14:31:00Z,2651,2,SIN;IST,397,Economy,642.86,USD,3,E190,74,False,False,medium,shoulder,False
F003701,KL,KLM,skyteam,KL4254,CPT,Cape Town,DXB,Dubai,2025-05-30T19:05:00Z,2025-05-31T05:18:00Z,613,0,,0,Economy,842.94,USD,8,A350-900,88,False,False,medium,shoulder,False
F003801,KL,KLM,skyteam,KL1779,GIG,Rio de Janeiro,LHR,London,2025-05-04T11:25:00Z,2025-05-04T23:39:00Z,734,0,,0,Economy,1020.82,USD,4,A330-300,87,True,False,medium,shoulder,False
F003901,UA,United Airlines,star,UA4041;UA7190,DXB,Dubai,GIG,Rio de Janeiro,2025-06-18T07:40:00Z,2025-06-19T11:14:00Z,1654,1,JFK,170,Economy,1282.21,USD,5,B777-300ER,79,False,False,high,summer_peak,False
F004001,UA,United Airlines,star,UA5923;UA4689,JFK,New York,SFO,San Francisco,2025-11-10T11:15:00Z,2025-11-11T08:57:00Z,1302,1,LHR,161,Economy,362.19,USD,8,B737-800,83,True,False,medium,shoulder,False
F004101,JL,Japan Airlines,oneworld,JL8430;JL7780,AKL,Auckland,AMS,Amsterdam,2026-04-10T05:25:00Z,2026-04-11T10:12:00Z,1727,1,JFK,143,Economy,1931.22,USD,4,A380-800,79,True,False,high,spring_break,True
F004201,QF,Qantas,oneworld,QF3233;QF2593;QF4797,FRA,Frankfurt,MEX,Mexico City,2025-01-28T19:40:00Z,2025-01-30T12:42:00Z,2462,2,NRT;AMS,252,Economy,561.47,USD,4,B767-300,80,False,False,low,winter_low,False
F004301,AA,American Airlines,oneworld,AA6476,DXB,Dubai,BOM,Mumbai,2025-02-18T11:45:00Z,2025-02-18T14:49:00Z,184,0,,0,Business,688.38,USD,6,A350-900,85,True,True,low,winter_low,False
F004401,JL,Japan Airlines,oneworld,JL7195;JL6687,LHR,London,BKK,Bangkok,2025-01-01T09:55:00Z,2025-01-02T16:07:00Z,1812,1,LAX,79,Premium Economy,2878.46,USD,3,B767-300,79,True,False,peak,year_end_holidays,True
F004501,AA,American Airlines,oneworld,AA6095;AA8493;AA1444,SIN,Singapore,MEL,Melbourne,2025-04-07T16:45:00Z,2025-04-09T08:08:00Z,2363,2,IST;AMS,190,Business,1588.93,USD,3,B787-9,76,True,True,high,spring_break,True
F004601,SQ,Singapore Airlines,star,SQ397;SQ462,BOM,Mumbai,HKG,Hong Kong,2025-01-30T21:50:00Z,2025-02-01T09:01:00Z,2111,1,LAX,108,Economy,312.33,USD,9,B787-9,84,False,False,low,winter_low,False
F004701,KL,KLM,skyteam,KL2410,LHR,London,IST,Istanbul,2025-03-17T08:15:00Z,2025-03-17T12:01:00Z,226,0,,0,Economy,279.83,USD,6,E190,84,False,False,medium,shoulder,False
F004801,CX,Cathay Pacific,oneworld,CX6899,CDG,Paris,LIS,Lisbon,2026-06-14T08:15:00Z,2026-06-14T10:45:00Z,150,0,,0,Economy,307.18,USD,6,A330-300,87,True,False,high,summer_peak,False
F004901,TG,Thai Airways,star,TG9061,SIN,Singapore,JFK,New York,2026-01-19T23:10:00Z,2026-01-20T19:00:00Z,1190,0,,0,Business,4858.72,USD,8,B767-300,88,True,True,low,winter_low,False
F005001,AA,American Airlines,oneworld,AA2778;AA2099,CDG,Paris,PEK,Beijing,2025-01-13T15:50:00Z,2025-01-14T15:04:00Z,1394,1,SIN,174,Economy,528.25,USD,4,E190,83,False,False,low,winter_low,False
F005101,KL,KLM,skyteam,KL4327,AMS,Amsterdam,DPS,Bali,2025-11-07T17:30:00Z,2025-11-08T09:21:00Z,951,0,,0,Premium Economy,2339.68,USD,7,B767-300,91,True,False,medium,shoulder,False
F005201,KE,Korean Air,skyteam,KE2814;KE8071,SFO,San Francisco,BOM,Mumbai,2026-01-01T15:40:00Z,2026-01-02T12:26:00Z,1246,1,LAX,77,Economy,1858.18,USD,4,B787-9,71,True,True,peak,year_end_holidays,True
F005301,KL,KLM,skyteam,KL3770;KL6329;KL4858,ORD,Chicago,FRA,Frankfurt,2025-01-15T20:20:00Z,2025-01-17T02:53:00Z,1833,2,LHR;JFK,359,First,2160.22,USD,4,A321neo,73,True,True,low,winter_low,False
F005401,QF,Qantas,oneworld,QF6460;QF3285,DXB,Dubai,AMS,Amsterdam,2025-06-14T08:20:00Z,2025-06-14T17:20:00Z,540,1,IST,70,Economy,670.14,USD,2,A380-800,82,False,False,high,summer_peak,False
F005501,KL,KLM,skyteam,KL7069;KL7652,AMS,Amsterdam,DEL,Delhi,2025-10-10T18:30:00Z,2025-10-11T17:58:00Z,1408,1,NRT,187,Business,1706.97,USD,9,B777-300ER,78,True,True,medium,shoulder,False
F005601,AI,Air India,star,AI1755;AI8487,JFK,New York,FRA,Frankfurt,2026-03-07T08:05:00Z,2026-03-08T07:01:00Z,1376,1,DOH,145,Economy,425.61,USD,5,A330-300,86,False,True,medium,shoulder,False
F005701,QR,Qatar Airways,oneworld,QR6213;QR9418,ICN,Seoul,YYZ,Toronto,2026-06-06T10:10:00Z,2026-06-07T09:34:00Z,1404,1,LHR,233,Economy,1282.47,USD,7,A320neo,78,True,False,high,summer_peak,False
F005801,TK,Turkish Airlines,star,TK6322;TK4220,AKL,Auckland,FRA,Frankfurt,2026-04-18T08:10:00Z,2026-04-19T10:24:00Z,1574,1,DXB,66,Business,5683.34,USD,3,B787-9,76,True,True,high,spring_break,True
F005901,NH,ANA,star,NH6480;NH9838;NH5131,BKK,Bangkok,AKL,Auckland,2025-07-08T08:15:00Z,2025-07-10T02:48:00Z,2553,2,FRA;DXB,331,Economy,963.15,USD,3,A380-800,72,True,True,high,summer_peak,False
F006001,KL,KLM,skyteam,KL6803,CPT,Cape Town,DOH,Doha,2026-04-29T12:05:00Z,2026-04-29T22:03:00Z,598,0,,0,Economy,749.49,USD,5,A350-900,85,False,False,medium,shoulder,False
F006101,SQ,Singapore Airlines,star,SQ454;SQ8674,PVG,Shanghai,FRA,Frankfurt,2026-06-28T19:05:00Z,2026-06-29T11:37:00Z,992,1,HKG,132,Business,3244.76,USD,7,A330-300,79,True,True,high,summer_peak,False
F006201,DL,Delta,skyteam,DL637;DL5519,DXB,Dubai,GIG,Rio de Janeiro,2026-03-18T13:05:00Z,2026-03-19T08:11:00Z,1146,1,DOH,174,Business,3254.72,USD,9,A350-900,80,True,True,medium,shoulder,False
F006301,BA,British Airways,oneworld,BA9860;BA6860,LAX,Los Angeles,IST,Istanbul,2025-01-01T22:10:00Z,2025-01-02T16:18:00Z,1088,1,CDG,160,Economy,1463.55,USD,1,A321neo,77,True,False,peak,year_end_holidays,True
F006401,DL,Delta,skyteam,DL9647,LAX,Los Angeles,ICN,Seoul,2025-03-04T15:00:00Z,2025-03-05T03:42:00Z,762,0,,0,Economy,1066.16,USD,9,A321neo,91,True,False,medium,shoulder,False
F006501,BA,British Airways,oneworld,BA4780;BA4465,DOH,Doha,MEX,Mexico City,2026-03-10T13:55:00Z,2026-03-11T12:46:00Z,1371,1,AMS,232,Economy,1103.37,USD,3,A380-800,85,True,False,medium,shoulder,False
F006601,AF,Air France,skyteam,AF8107;AF8848;AF6905,DOH,Doha,DPS,Bali,2025-11-27T21:35:00Z,2025-11-29T05:23:00Z,1908,2,FRA;NRT,322,Business,2640.8,USD,2,A330-300,74,True,True,high,thanksgiving_peak,True
F006701,KE,Korean Air,skyteam,KE1495,FRA,Frankfurt,YYZ,Toronto,2025-05-16T17:40:00Z,2025-05-17T02:15:00Z,515,0,,0,Economy,612.37,USD,5,E190,86,True,False,medium,shoulder,False
F006801,AI,Air India,star,AI9367,MEX,Mexico City,CDG,Paris,2025-12-27T19:30:00Z,2025-12-28T07:39:00Z,729,0,,0,Economy,1476.59,USD,4,A380-800,81,False,True,peak,year_end_holidays,True
F006901,UA,United Airlines,star,UA7437;UA8651,IST,Istanbul,CPT,Cape Town,2026-01-25T15:40:00Z,2026-01-26T08:05:00Z,985,1,DXB,105,Economy,632.7,USD,6,A380-800,78,True,False,low,winter_low,False
F007001,KE,Korean Air,skyteam,KE805;KE5816,MEX,Mexico City,LHR,London,2025-04-04T21:25:00Z,2025-04-06T01:31:00Z,1686,1,DOH,155,Premium Economy,1150.65,USD,5,B777-300ER,78,True,True,medium,shoulder,False
F007101,AI,Air India,star,AI9147;AI4312,HKG,Hong Kong,MEX,Mexico City,2025-03-29T16:35:00Z,2025-03-30T19:58:00Z,1643,1,CDG,155,Economy,966.9,USD,3,A350-900,82,True,False,medium,shoulder,False
F007201,QR,Qatar Airways,oneworld,QR6071;QR5249,ORD,Chicago,AMS,Amsterdam,2025-01-20T11:05:00Z,2025-01-21T16:25:00Z,1760,1,NRT,227,Premium Economy,889.6,USD,8,E190,85,True,True,low,winter_low,False
F007301,TK,Turkish Airlines,star,TK9735;TK708,CPT,Cape Town,IST,Istanbul,2026-06-02T12:05:00Z,2026-06-03T18:57:00Z,1852,1,JFK,228,Economy,597.42,USD,7,B787-9,82,True,False,low,winter_low,False
F007401,KE,Korean Air,skyteam,KE2119;KE6222,DXB,Dubai,YYZ,Toronto,2025-10-17T22:00:00Z,2025-10-18T15:57:00Z,1077,1,AMS,161,Economy,750.01,USD,8,B737-800,80,True,False,medium,shoulder,False
F007501,AI,Air India,star,AI5377;AI7458;AI9972,MEX,Mexico City,LHR,London,2026-03-04T16:35:00Z,2026-03-06T05:30:00Z,2215,2,SFO;HKG,312,First,3082.23,USD,5,A380-800,73,True,True,medium,shoulder,False
F007601,NH,ANA,star,NH5895;NH6302;NH2228,DEL,Delhi,NRT,Tokyo,2026-03-09T07:05:00Z,2026-03-10T11:23:00Z,1698,2,FRA;CDG,358,Business,1451.23,USD,7,B777-300ER,77,True,True,medium,shoulder,False
F007701,AA,American Airlines,oneworld,AA2325,MEL,Melbourne,IST,Istanbul,2025-02-18T21:40:00Z,2025-02-19T16:38:00Z,1138,0,,0,Economy,2280.59,USD,5,A380-800,83,False,False,high,summer_peak,False
F007801,AI,Air India,star,AI5821;AI138,YYZ,Toronto,DEL,Delhi,2025-09-23T22:05:00Z,2025-09-24T21:41:00Z,1416,1,SFO,136,Economy,728.71,USD,4,A321neo,78,True,False,medium,shoulder,False
F007901,JL,Japan Airlines,oneworld,JL9240;JL1335;JL8239,LAX,Los Angeles,FCO,Rome,2025-04-04T15:25:00Z,2025-04-05T16:35:00Z,1510,2,FRA;IST,452,Economy,721.57,USD,8,A330-300,83,True,True,medium,shoulder,False
F008001,KE,Korean Air,skyteam,KE3449,YYZ,Toronto,DOH,Doha,2025-06-05T11:50:00Z,2025-06-06T02:05:00Z,855,0,,0,Premium Economy,3028.08,USD,6,A320neo,88,True,False,high,summer_peak,False
F008101,UA,United Airlines,star,UA4405;UA9015,DXB,Dubai,SYD,Sydney,2025-02-01T10:10:00Z,2025-02-02T08:52:00Z,1362,1,NRT,97,Premium Economy,1477.98,USD,8,E190,84,True,True,low,winter_low,False
F008201,TG,Thai Airways,star,TG3555;TG8027,JFK,New York,KUL,Kuala Lumpur,2025-12-18T06:40:00Z,2025-12-19T06:16:00Z,1416,1,AMS,131,Economy,1842.85,USD,1,B767-300,70,False,False,peak,year_end_holidays,True
F008301,KE,Korean Air,skyteam,KE5460,CDG,Paris,FCO,Rome,2025-07-01T22:15:00Z,2025-07-02T00:17:00Z,122,0,,0,Economy,223.36,USD,5,A321neo,82,True,False,high,summer_peak,False
F008401,SQ,Singapore Airlines,star,SQ157;SQ2194;SQ2295,SFO,San Francisco,NRT,Tokyo,2026-04-13T14:45:00Z,2026-04-14T19:17:00Z,1712,2,JFK;ICN,356,Economy,737.07,USD,6,A380-800,77,False,False,high,spring_break,True
F008501,AA,American Airlines,oneworld,AA2728;AA5540,BKK,Bangkok,DXB,Dubai,2025-06-12T22:00:00Z,2025-06-13T11:20:00Z,800,1,HKG,151,Economy,570.29,USD,6,A350-900,77,False,False,high,summer_peak,False
F008601,AA,American Airlines,oneworld,AA9462;AA1884;AA8074,NRT,Tokyo,DEL,Delhi,2025-07-13T13:05:00Z,2025-07-15T05:20:00Z,2415,2,HKG;JFK,220,Premium Economy,955.72,USD,6,B767-300,71,True,False,high,summer_peak,False
F008701,TK,Turkish Airlines,star,TK2166;TK1125,GIG,Rio de Janeiro,MAA,Chennai,2025-01-16T05:45:00Z,2025-01-17T12:57:00Z,1872,1,JFK,203,Premium Economy,2958.76,USD,7,A320neo,80,True,False,high,summer_peak,False
F008801,AF,Air France,skyteam,AF1934;AF3755,BKK,Bangkok,PEK,Beijing,2025-12-07T08:05:00Z,2025-12-08T09:56:00Z,1551,1,LHR,142,Economy,257.88,USD,8,B767-300,84,False,False,medium,shoulder,False
F008901,TK,Turkish Airlines,star,TK1481,BOM,Mumbai,ICN,Seoul,2026-04-01T12:20:00Z,2026-04-01T19:55:00Z,455,0,,0,Economy,619.7,USD,6,E190,84,False,False,medium,shoulder,False
F009001,JL,Japan Airlines,oneworld,JL1669;JL4911,BCN,Barcelona,NRT,Tokyo,2025-10-05T21:05:00Z,2025-10-06T15:51:00Z,1126,1,ICN,233,Economy,827.73,USD,8,A320neo,85,True,False,medium,shoulder,False
F009101,EK,Emirates,none,EK7929,LHR,London,BKK,Bangkok,2025-08-10T18:15:00Z,2025-08-11T06:53:00Z,758,0,,0,Economy,1699.38,USD,3,A320neo,86,False,True,high,summer_peak,False
F009201,QF,Qantas,oneworld,QF4291;QF2342,LHR,London,LAX,Los Angeles,2025-09-29T03:50:00Z,2025-09-29T20:35:00Z,1005,1,JFK,212,Business,2853.63,USD,6,B777-300ER,88,True,True,medium,shoulder,False
F009301,EK,Emirates,none,EK6408,CDG,Paris,SIN,Singapore,2025-01-27T21:10:00Z,2025-01-28T11:14:00Z,844,0,,0,Economy,1200.94,USD,5,B787-9,93,False,False,low,winter_low,False
F009401,QR,Qatar Airways,oneworld,QR5878;QR9188,BOM,Mumbai,AKL,Auckland,2025-01-04T16:45:00Z,2025-01-05T12:40:00Z,1195,1,SIN,191,Business,3672.6,USD,7,B787-9,89,True,True,low,winter_low,False
F009501,TG,Thai Airways,star,TG4590;TG9409,BKK,Bangkok,CPT,Cape Town,2026-06-23T13:40:00Z,2026-06-24T16:04:00Z,1584,1,CDG,94,Economy,1137.58,USD,2,B767-300,81,False,True,high,summer_peak,False
F009601,KE,Korean Air,skyteam,KE6825;KE6087;KE1843,NRT,Tokyo,SVO,Moscow,2026-03-11T20:10:00Z,2026-03-13T09:24:00Z,2234,2,HKG;SFO,351,Economy,551.92,USD,8,B787-9,74,False,False,medium,shoulder,False
F009701,KE,Korean Air,skyteam,KE1509,SVO,Moscow,DPS,Bali,2026-06-24T12:15:00Z,2026-06-25T01:29:00Z,794,0,,0,Economy,1298.78,USD,5,B777-300ER,84,False,False,high,summer_peak,False
F009801,LH,Lufthansa,star,LH4419;LH414,SIN,Singapore,CDG,Paris,2025-11-28T17:45:00Z,2025-11-29T15:03:00Z,1278,1,NRT,69,Economy,1220.24,USD,6,A350-900,82,True,False,high,thanksgiving_peak,True
F009901,QF,Qantas,oneworld,QF3804;QF1849,IST,Istanbul,FRA,Frankfurt,2025-12-08T15:35:00Z,2025-12-09T17:29:00Z,1554,1,ICN,240,Business,519.56,USD,8,B737-800,82,True,True,medium,shoulder,False
F010001,KE,Korean Air,skyteam,KE3688,ICN,Seoul,PEK,Beijing,2025-12-27T22:20:00Z,2025-12-28T00:07:00Z,107,0,,0,Economy,222.58,USD,2,A330-300,77,True,True,peak,year_end_holidays,True
F010101,NH,ANA,star,NH8012,SFO,San Francisco,LIS,Lisbon,2025-05-20T20:25:00Z,2025-05-21T08:29:00Z,724,0,,0,Economy,1148.22,USD,9,A320neo,88,True,False,medium,shoulder,False
F010201,AF,Air France,skyteam,AF6073,SFO,San Francisco,DEL,Delhi,2025-07-23T15:15:00Z,2025-07-24T07:23:00Z,968,0,,0,Economy,1629.22,USD,2,A320neo,85,False,False,high,summer_peak,False
F010301,LH,Lufthansa,star,LH3069;LH7131,PVG,Shanghai,JFK,New York,2025-06-20T19:25:00Z,2025-06-21T17:40:00Z,1335,1,AMS,149,Economy,1179.81,USD,6,B777-300ER,74,True,False,high,summer_peak,False
F010401,JL,Japan Airlines,oneworld,JL6344;JL6956;JL6876,SYD,Sydney,LHR,London,2025-11-27T09:50:00Z,2025-11-29T16:04:00Z,3254,2,CDG;HKG,423,First,11250.88,USD,7,B777-300ER,74,True,True,high,thanksgiving_peak,True
F010501,QF,Qantas,oneworld,QF2715;QF6196;QF7259,DOH,Doha,AMS,Amsterdam,2026-05-02T08:25:00Z,2026-05-03T18:12:00Z,2027,2,JFK;IST,335,Economy,403.91,USD,5,A321neo,81,True,True,medium,shoulder,False
F010601,SQ,Singapore Airlines,star,SQ2380;SQ2958,GIG,Rio de Janeiro,CDG,Paris,2026-05-10T18:30:00Z,2026-05-11T15:10:00Z,1240,1,JFK,144,Economy,848.34,USD,9,A350-900,90,False,False,medium,shoulder,False
F010701,EK,Emirates,none,EK4440,AMS,Amsterdam,MAA,Chennai,2025-08-24T18:25:00Z,2025-08-25T04:55:00Z,630,0,,0,Economy,1256.08,USD,6,B787-9,90,True,False,high,summer_peak,False
F010801,LH,Lufthansa,star,LH3213;LH1331,NRT,Tokyo,DXB,Dubai,2025-05-04T05:55:00Z,2025-05-05T13:09:00Z,1874,1,SFO,202,Business,2257.11,USD,3,A380-800,83,True,True,medium,shoulder,False
F010901,AI,Air India,star,AI2554;AI4429;AI7340,CPT,Cape Town,CDG,Paris,2025-01-27T22:05:00Z,2025-01-28T20:50:00Z,1365,2,DOH;AMS,289,First,4798.56,USD,7,B777-300ER,71,True,True,high,summer_peak,False
F011001,AF,Air France,skyteam,AF936;AF9067;AF9001,DPS,Bali,BCN,Barcelona,2025-11-08T01:05:00Z,2025-11-09T00:50:00Z,1425,2,DXB;FRA,299,Economy,834.57,USD,6,A380-800,78,True,False,medium,shoulder,False
F011101,KL,KLM,skyteam,KL7376;KL9886,MAA,Chennai,HKG,Hong Kong,2025-12-28T01:35:00Z,2025-12-29T03:18:00Z,1543,1,AMS,178,Premium Economy,890.36,USD,4,A380-800,76,True,True,peak,year_end_holidays,True
F011201,QF,Qantas,oneworld,QF6872,BOM,Mumbai,NRT,Tokyo,2025-12-27T10:40:00Z,2025-12-27T19:48:00Z,548,0,,0,Business,4358.37,USD,2,A330-300,80,True,True,peak,year_end_holidays,True
F011301,SQ,Singapore Airlines,star,SQ8666,LAX,Los Angeles,PEK,Beijing,2025-10-16T09:45:00Z,2025-10-16T22:57:00Z,792,0,,0,Economy,1204.41,USD,6,E190,96,False,False,medium,shoulder,False
